VAL, per state: E rmse / bias (meV/atom) | F rmse / F max (meV/A)
         state                         B39                         e44                         e49                         e56
 charged NiN44  19.69/+19.34 |  35.5/ 286.2   7.03/ +6.51 |  41.0/ 333.6   7.65/ +7.37 |  38.0/ 382.4   7.01/ +6.77 |  36.8/ 388.3
 charged NiN88   5.54/ -5.45 |  33.3/ 303.4   5.51/ -5.48 |  36.6/ 321.7   0.99/ -0.82 |  35.7/ 353.1   0.62/ +0.01 |  34.6/ 318.4
 neutral NiN44   6.37/ -6.31 |  36.3/ 434.7   9.86/ -9.81 |  41.0/ 789.6   4.86/ -4.78 |  39.0/ 831.6   3.52/ -3.40 |  37.7/ 791.0

VAL, all 80 frames: E rmse / bias (meV/atom) | F rmse (meV/A)
           B39:  11.17/ +0.32 |  35.4
           e44:   8.28/ -4.65 |  40.0
           e49:   5.17/ -0.75 |  38.0
           e56:   4.31/ -0.01 |  36.7

VAL paired charging energy residual (model dE - DFT dE, eV), 20 pairs: rmse / bias / mean-removed
           B39: 5.3239 / +5.2644 / 0.7940
           e44: 3.3173 / +3.2624 / 0.6009
           e49: 2.4523 / +2.4077 / 0.4655
           e56: 2.0365 / +1.9952 / 0.4082

Pair by pair (eV): DFT dE, then residual per column; last column = change first->last
   k k+600   n   DFT dE        B39        e44        e49        e56   change
  28   628 207   -7.795    +6.7123    +4.3313    +3.2440    +2.6968  -4.0155
  30   630 207   -7.620    +6.1667    +3.9954    +2.9226    +2.4096  -3.7571
  43   643 207   -7.550    +6.2741    +4.0431    +2.9628    +2.4363  -3.8378
  60   660 207   -4.869    +3.8809    +2.2326    +1.6166    +1.2890  -2.5919
  61   661 207   -4.661    +3.6307    +2.0129    +1.4329    +1.1247  -2.5059
  62   662 207   -4.700    +3.6580    +2.0635    +1.4779    +1.1666  -2.4914
  69   669 207   -5.444    +5.0269    +3.1752    +2.3868    +1.9823  -3.0446
  79   679 207   -6.451    +5.5536    +3.5114    +2.6278    +2.2071  -3.3465
  83   683 207   -6.326    +5.3838    +3.4041    +2.5459    +2.1701  -3.2137
  94   694 207   -5.834    +5.1278    +3.1792    +2.3554    +1.9905  -3.1372
 128   728 207   -6.680    +5.5605    +3.4212    +2.5219    +2.1079  -3.4525
 134   734 207   -6.664    +5.6314    +3.5995    +2.6815    +2.2574  -3.3740
 148   748 207   -6.201    +5.2672    +3.2656    +2.4756    +2.0831  -3.1841
 153   753 207   -6.302    +5.7303    +3.6346    +2.7045    +2.2557  -3.4746
 159   759 207   -5.947    +4.9629    +3.0778    +2.2595    +1.8794  -3.0835
 177   777 207   -6.902    +5.6159    +3.4295    +2.5204    +2.0640  -3.5519
 180   780 207   -6.761    +5.9445    +3.6740    +2.7103    +2.2477  -3.6968
 185   785 207   -6.267    +5.1937    +3.2170    +2.3919    +1.9936  -3.2001
 186   786 207   -6.100    +5.1615    +3.2337    +2.4004    +2.0125  -3.1490
 189   789 207   -6.052    +4.8057    +2.7471    +1.9158    +1.5299  -3.2758

|residual| smaller in the last column than in the first: 20/20 pairs
