VAL, per state: E rmse / bias (meV/atom) | F rmse / F max (meV/A)
         state                         B39                       ref29                    branch29                    e1000_44
 charged NiN44  19.69/+19.34 |  35.5/ 286.2  11.16/+10.87 |  48.4/1112.5  11.79/+11.48 |  54.3/ 677.0   7.03/ +6.51 |  41.0/ 333.6
 charged NiN88   5.54/ -5.45 |  33.3/ 303.4   0.89/ -0.79 |  42.5/ 346.8   1.10/ -0.91 |  50.4/ 490.8   5.51/ -5.48 |  36.6/ 321.7
 neutral NiN44   6.37/ -6.31 |  36.3/ 434.7   4.91/ -4.83 |  49.8/1832.9   5.77/ -5.69 |  56.7/1694.0   9.86/ -9.81 |  41.0/ 789.6

VAL, all 80 frames: E rmse / bias (meV/atom) | F rmse (meV/A)
           B39:  11.17/ +0.32 |  35.4
         ref29:   6.59/ +0.10 |  47.7
      branch29:   7.19/ -0.21 |  54.6
      e1000_44:   8.28/ -4.65 |  40.0

VAL paired charging energy residual (model dE - DFT dE, eV), 20 pairs: rmse / bias / mean-removed
           B39: 5.3239 / +5.2644 / 0.7940
         ref29: 3.2252 / +3.1745 / 0.5697
      branch29: 3.7294 / +3.6845 / 0.5770
      e1000_44: 3.3173 / +3.2624 / 0.6009

Pair by pair (eV): DFT dE, then residual per column; last column = change first->last
   k k+600   n   DFT dE        B39      ref29   branch29   e1000_44   change
  28   628 207   -7.795    +6.7123    +4.3147    +4.7828    +4.3313  -2.3809
  30   630 207   -7.620    +6.1667    +4.0135    +4.5666    +3.9954  -2.1713
  43   643 207   -7.550    +6.2741    +3.9287    +4.4230    +4.0431  -2.2310
  60   660 207   -4.869    +3.8809    +2.2873    +2.8209    +2.2326  -1.6483
  61   661 207   -4.661    +3.6307    +2.0642    +2.5729    +2.0129  -1.6177
  62   662 207   -4.700    +3.6580    +2.1009    +2.6017    +2.0635  -1.5945
  69   669 207   -5.444    +5.0269    +3.1394    +3.5599    +3.1752  -1.8517
  79   679 207   -6.451    +5.5536    +3.4745    +3.9927    +3.5114  -2.0422
  83   683 207   -6.326    +5.3838    +3.2529    +3.7857    +3.4041  -1.9797
  94   694 207   -5.834    +5.1278    +2.9917    +3.6142    +3.1792  -1.9485
 128   728 207   -6.680    +5.5605    +3.2075    +3.6593    +3.4212  -2.1392
 134   734 207   -6.664    +5.6314    +3.3929    +3.9016    +3.5995  -2.0318
 148   748 207   -6.201    +5.2672    +3.0616    +3.6351    +3.2656  -2.0016
 153   753 207   -6.302    +5.7303    +3.4016    +3.9256    +3.6346  -2.0957
 159   759 207   -5.947    +4.9629    +2.9163    +3.3551    +3.0778  -1.8851
 177   777 207   -6.902    +5.6159    +3.2867    +3.9107    +3.4295  -2.1863
 180   780 207   -6.761    +5.9445    +3.6466    +4.2319    +3.6740  -2.2704
 185   785 207   -6.267    +5.1937    +3.1460    +3.6185    +3.2170  -1.9767
 186   786 207   -6.100    +5.1615    +3.1315    +3.5599    +3.2337  -1.9278
 189   789 207   -6.052    +4.8057    +2.7317    +3.1728    +2.7471  -2.0587

|residual| smaller in the last column than in the first: 20/20 pairs
