VAL, per state: E rmse / bias (meV/atom) | F rmse / F max (meV/A)
         state                         B39                    e1000_56                    branch59                       ref59
 charged NiN44  19.69/+19.34 |  35.5/ 286.2   7.01/ +6.77 |  36.8/ 388.3   6.88/ +6.63 |  36.2/ 312.5   5.14/ +4.89 |  35.5/ 987.5
 charged NiN88   5.54/ -5.45 |  33.3/ 303.4   0.62/ +0.01 |  34.6/ 318.4   0.70/ +0.51 |  34.3/ 368.6   0.74/ +0.16 |  31.8/ 249.4
 neutral NiN44   6.37/ -6.31 |  36.3/ 434.7   3.52/ -3.40 |  37.7/ 791.0   2.91/ -2.81 |  38.4/1139.3   2.12/ -1.99 |  36.3/1391.5

VAL, all 80 frames: E rmse / bias (meV/atom) | F rmse (meV/A)
           B39:  11.17/ +0.32 |  35.4
      e1000_56:   4.31/ -0.01 |  36.7
      branch59:   4.02/ +0.38 |  36.9
         ref59:   3.00/ +0.27 |  35.0

VAL paired charging energy residual (model dE - DFT dE, eV), 20 pairs: rmse / bias / mean-removed
           B39: 5.3239 / +5.2644 / 0.7940
      e1000_56: 2.0365 / +1.9952 / 0.4082
      branch59: 1.9008 / +1.8596 / 0.3938
         ref59: 1.3566 / +1.3202 / 0.3119

Pair by pair (eV): DFT dE, then residual per column; last column = change first->last
   k k+600   n   DFT dE        B39   e1000_56   branch59      ref59   change
  28   628 207   -7.795    +6.7123    +2.6968    +2.4184    +1.7790  -4.9333
  30   630 207   -7.620    +6.1667    +2.4096    +2.1600    +1.5551  -4.6116
  43   643 207   -7.550    +6.2741    +2.4363    +2.1490    +1.6040  -4.6701
  60   660 207   -4.869    +3.8809    +1.2890    +1.1615    +0.8143  -3.0666
  61   661 207   -4.661    +3.6307    +1.1247    +0.9767    +0.6548  -2.9758
  62   662 207   -4.700    +3.6580    +1.1666    +1.0090    +0.6677  -2.9903
  69   669 207   -5.444    +5.0269    +1.9823    +1.7897    +1.4059  -3.6210
  79   679 207   -6.451    +5.5536    +2.2071    +2.0389    +1.5404  -4.0132
  83   683 207   -6.326    +5.3838    +2.1701    +2.0919    +1.5792  -3.8046
  94   694 207   -5.834    +5.1278    +1.9905    +1.8150    +1.3664  -3.7613
 128   728 207   -6.680    +5.5605    +2.1079    +1.8835    +1.3328  -4.2276
 134   734 207   -6.664    +5.6314    +2.2574    +2.0974    +1.5396  -4.0918
 148   748 207   -6.201    +5.2672    +2.0831    +2.0142    +1.4331  -3.8341
 153   753 207   -6.302    +5.7303    +2.2557    +2.2349    +1.6437  -4.0866
 159   759 207   -5.947    +4.9629    +1.8794    +1.7372    +1.2140  -3.7488
 177   777 207   -6.902    +5.6159    +2.0640    +1.9808    +1.2787  -4.3372
 180   780 207   -6.761    +5.9445    +2.2477    +2.2727    +1.4758  -4.4687
 185   785 207   -6.267    +5.1937    +1.9936    +1.9172    +1.2731  -3.9206
 186   786 207   -6.100    +5.1615    +2.0125    +1.9058    +1.3069  -3.8546
 189   789 207   -6.052    +4.8057    +1.5299    +1.5377    +0.9395  -3.8662

|residual| smaller in the last column than in the first: 20/20 pairs
