SYNC SITES BY STACK rank 0 (per step over 5 steps): op | count/step | self cpu ms/step | stack (mace frames)
  aten::copy_                    4543.8    24.54  
  aten::_local_scalar_dense       697.4     0.93  
  aten::item                      697.2     3.43  
  aten::nonzero                   529.0    18.41  
  aten::index                     484.2    10.02  
  aten::_to_copy                  476.8     3.23  
  aten::copy_                       6.4     0.03  _spherical_harmonics.py(209): _spherical_harmonics
  aten::copy_                       6.2     0.04  <string>(270): <forward op>
  aten::copy_                       5.0     0.03  <eval_with_key>.405(40): forward
  aten::copy_                       5.0     0.03  <eval_with_key>.405(52): forward
  aten::copy_                       5.0     0.03  <eval_with_key>.376(34): forward
  aten::copy_                       4.6     0.03  <eval_with_key>.157(55): forward
  aten::copy_                       4.2     0.02  <eval_with_key>.165(73): forward
  aten::copy_                       4.2     0.03  <eval_with_key>.299(32): forward
  aten::copy_                       4.2     0.03  <eval_with_key>.341(39): forward
  aten::copy_                       4.2     0.02  <eval_with_key>.376(38): forward
  aten::copy_                       4.0     0.02  <eval_with_key>.165(91): forward
  aten::copy_                       4.0     0.02  <eval_with_key>.341(51): forward
  aten::copy_                       4.0     0.02  <eval_with_key>.384(32): forward
  aten::copy_                       4.0     0.02  <eval_with_key>.391(34): forward
  aten::copy_                       4.0     0.02  <eval_with_key>.398(45): forward
  aten::copy_                       4.0     0.02  <eval_with_key>.398(57): forward
  aten::copy_                       4.0     0.02  <eval_with_key>.405(34): forward
  aten::copy_                       4.0     0.02  <eval_with_key>.405(46): forward
  aten::copy_                       3.8     0.02  <eval_with_key>.165(67): forward
  aten::copy_                       3.8     0.02  <eval_with_key>.165(79): forward
  aten::copy_                       3.8     0.02  <eval_with_key>.165(85): forward
  aten::copy_                       3.8     0.02  <eval_with_key>.165(97): forward
  aten::copy_                       3.6     0.02  <eval_with_key>.391(22): forward
  aten::copy_                       3.6     0.02  _spherical_harmonics.py(185): _spherical_harmonics
  aten::copy_                       3.4     0.02  <eval_with_key>.334(33): forward
  aten::copy_                       3.4     0.01  <eval_with_key>.6(15): forward
  aten::copy_                       3.2     0.02  <eval_with_key>.292(44): forward
  aten::copy_                       3.2     0.02  <eval_with_key>.149(27): forward
  aten::copy_                       3.2     0.02  <eval_with_key>.299(44): forward
  aten::copy_                       3.2     0.02  <eval_with_key>.444(33): forward
  aten::copy_                       3.2     0.02  <eval_with_key>.398(21): forward
  aten::copy_                       3.2     0.02  <eval_with_key>.165(61): forward
  aten::copy_                       3.2     0.02  <eval_with_key>.173(55): forward
  aten::copy_                       3.0     0.02  <eval_with_key>.292(32): forward
  aten::copy_                       3.0     0.02  <eval_with_key>.173(47): forward
  aten::copy_                       3.0     0.02  <eval_with_key>.384(21): forward
  aten::copy_                       2.8     0.02  <eval_with_key>.341(33): forward
  aten::copy_                       2.8     0.02  <eval_with_key>.398(39): forward
  aten::copy_                       2.8     0.02  <eval_with_key>.398(51): forward
  aten::copy_                       2.8     0.02  <eval_with_key>.398(33): forward
  aten::copy_                       2.8     0.01  <eval_with_key>.348(15): forward
  aten::copy_                       2.8     0.02  _spherical_harmonics.py(195): _spherical_harmonics
  aten::copy_                       2.6     0.02  <eval_with_key>.376(28): forward
  aten::copy_                       2.6     0.02  <eval_with_key>.165(55): forward
  aten::copy_                       2.6     0.02  <eval_with_key>.165(49): forward
  aten::copy_                       2.6     0.02  <eval_with_key>.157(83): forward
  aten::copy_                       2.4     0.02  <eval_with_key>.292(38): forward
  aten::copy_                       2.4     0.02  <eval_with_key>.165(103): forward
  aten::copy_                       2.4     0.02  <eval_with_key>.165(121): forward
  aten::copy_                       2.4     0.02  <eval_with_key>.165(133): forward
  aten::copy_                       2.4     0.01  <eval_with_key>.405(58): forward
  aten::copy_                       2.4     0.01  <eval_with_key>.412(30): forward
  aten::copy_                       2.4     0.02  <eval_with_key>.157(99): forward
  aten::copy_                       2.4     0.01  <eval_with_key>.157(61): forward

TOP LAUNCH SITES BY STACK rank 0: op | count/step | cpu total ms/step | device ms/step | stack
  aten::mul                      7837.0   121.69   209.24  
  aten::copy_                    4543.8   204.18    59.12  
  aten::fill_                    2760.8    27.92    25.64  
  aten::add_                     2014.2    19.60    55.80  
  aten::zero_                    2006.6    25.64    19.78  
  aten::div                      1858.8    28.77    39.83  
  aten::add                      1745.8    26.44    29.20  
  aten::zeros                    1463.2    30.62    13.18  
  aten::clone                    1366.6    29.38    24.54  
  aten::_reshape_alias           1243.4     0.95     0.00  
