PROFILE rank 0: 20 steps; times in ms PER STEP (cpu_total = wall span incl. children on the CPU side; device_total = GPU kernel time attributed)
marker                                   count/step  cpu_total device_total
epoch/grad_tracking                            1.00        2.7          0.4
epoch/metrics_log                              1.00        2.8          0.0
model/force_derivative                         1.00      352.0          0.0
pb1d/1_baseline                                1.50        5.0          5.0
pb1d/2_assembly                                1.50        2.5          9.5
pb1d/3_poisson                                 1.50        2.0          2.1
pb1d/4_closure                                 1.50       80.9         73.8
pb1d/5_solve1d                                 1.50       72.6         34.7
step/backward                                  1.00      883.3          0.0
step/data_density3d_attach                     1.00        4.6          0.0
step/data_solvent3d_attach                     1.00       72.2          0.0
step/data_to_device                            1.00        3.5          0.4
step/ema                                       1.00        4.8          1.3
step/forward_energy_and_forces                 1.00      742.0        232.3
step/grad_clip                                 1.00        2.9          0.1
step/loss                                      1.00      236.5        207.0
step/optimizer                                 1.00        6.8          1.8

group                                                                                      count/step  cpu_total   self_cpu device_total
collectives (all_reduce/nccl/broadcast/allgather)                                                74.0        2.9        0.8        931.0
    aten::broadcast_to                                                                           14.0        0.0        0.0          0.0
    c10d::allreduce_                                                                             14.0        1.2        0.2        425.9
    nccl:all_reduce                                                                              14.0        0.7        0.0          0.0
    ncclDevKernel_AllReduce_Sum_f64_RING_LL(ncclDevComm*, unsigned long, ncclWork*)              13.0        0.0        0.0        425.8
    aten::broadcast_tensors                                                                       6.0        0.0        0.0          0.0
    c10d::broadcast_                                                                              4.0        0.8        0.5         39.7
host<->device syncs (item/_local_scalar_dense/cudaStreamSynchronize/cudaDeviceSynchronize)     2380.6      735.9      117.0          3.6
    cudaStreamSynchronize                                                                       974.4       44.1       44.0          1.6
    aten::item                                                                                  690.5      313.2       -4.4          0.9
    aten::_local_scalar_dense                                                                   690.5      312.9       11.7          1.1
    cudaDeviceSynchronize                                                                        25.1       65.7       65.6          0.0
device->host copies (Memcpy DtoH / aten::_to_copy / aten::to / aten::cpu)                      1240.0      133.5        0.2          7.6
    Memcpy DtoH (Device -> Pageable)                                                            770.3        0.0        0.0          0.8
    aten::_to_copy                                                                              469.6      133.5        0.2          6.8
FFT ops (aten::_fft*/fft)                                                                      1440.8       63.2       11.3        137.3
    void regular_fft<100u, EPT<10u>, 16u, 6u, (padding_t)1, (twiddle_t)0, (loadstore_mod        243.8        0.0        0.0         12.2
    void regular_fft<100u, EPT<10u>, 16u, 5u, (padding_t)1, (twiddle_t)0, (loadstore_mod        144.8        0.0        0.0          4.0
    aten::_fft_r2c                                                                              142.3       10.0        4.3         13.4
    void regular_fft_r2c<300u, EPT<5u, 12u>, 2u, 7u, (padding_t)0, (twiddle_t)0, (loadst         98.2        0.0        0.0          5.1
    aten::_fft_c2c                                                                               91.0        4.3        1.8         13.2
    void regular_fft<300u, EPT<5u, 12u>, 2u, 4u, (padding_t)0, (twiddle_t)0, (loadstore_         69.8        0.0        0.0          4.1
linalg solve/factorisation (linalg_solve/lu/cholesky)                                           248.0       88.0        5.1        155.6
    aten::linalg_solve_triangular                                                                46.1        0.9        0.6          2.8
    aten::linalg_lu_solve                                                                        35.0        5.1        0.6          5.4
    void getrf_pivot<getrf_params_<double, 512, 2, 512, 256, 1> >(int, int, int, void*,          34.1        0.0        0.0         19.7
    aten::linalg_solve_ex                                                                        28.1        8.9        0.1         32.2
    aten::_linalg_solve_ex                                                                       28.1        8.7        1.0         32.3
    aten::linalg_lu_factor_ex                                                                    28.1        3.7        1.0         28.4
autograd checkpoint recompute (CheckpointFunction)                                                0.0        0.0        0.0          0.0
