SYNC CALL SITES rank 0: 233.6 host-device syncs per step on CUDA tensors over 5 steps
  per file (calls/step): pb1d_solver.py 108.8, solvent_charge_layer.py 28.0, pb1d_localfield.py 24.0, loss.py 18.6, pb1d_backend.py 17.6, extensions.py 15.8, scatter.py 6.0, features.py 4.0, gl_jit_compat.py 3.0, train.py 3.0, solvent3d.py 2.8, energy.py 1.0, torch_tools.py 1.0
  calls/step  method      caller
        24.0  __float__   pb1d_localfield.py:82
        24.0  __float__   pb1d_solver.py:222
        23.2  __float__   pb1d_solver.py:211
        16.0  __float__   pb1d_solver.py:384
        12.0  __float__   pb1d_solver.py:227
        11.2  __float__   pb1d_solver.py:209
         9.6  __float__   pb1d_solver.py:411
         8.0  item        solvent_charge_layer.py:114
         8.0  __bool__    solvent_charge_layer.py:120
         8.0  __float__   pb1d_solver.py:379
         6.0  __int__     scatter.py:44
         4.0  item        extensions.py:1674
         3.0  __int__     gl_jit_compat.py:290
         3.0  __float__   train.py:702
         2.0  item        solvent_charge_layer.py:404
         2.0  item        extensions.py:1672
         2.0  item        extensions.py:1676
         2.0  cpu         solvent_charge_layer.py:449
         2.0  item        solvent_charge_layer.py:466
         1.6  cpu         extensions.py:1679
         1.6  item        extensions.py:1772
         1.6  cpu         pb1d_backend.py:331
         1.6  __float__   pb1d_solver.py:417
         1.6  __float__   pb1d_solver.py:418
         1.6  __float__   pb1d_solver.py:330
         1.6  __float__   pb1d_backend.py:524
         1.6  __float__   pb1d_backend.py:564
         1.6  __float__   pb1d_backend.py:565
         1.6  __float__   pb1d_backend.py:566
         1.6  __float__   pb1d_backend.py:856
         1.6  __float__   pb1d_backend.py:857
         1.6  __float__   pb1d_backend.py:858
         1.0  cpu         loss.py:236
         1.0  cpu         solvent3d.py:354
         1.0  __bool__    features.py:475
         1.0  __bool__    features.py:418
         1.0  __bool__    features.py:420
         1.0  __bool__    features.py:422
         1.0  cpu         extensions.py:1418
         1.0  __bool__    solvent_charge_layer.py:717
         1.0  item        solvent_charge_layer.py:717
         1.0  item        solvent_charge_layer.py:746
         1.0  item        solvent_charge_layer.py:490
         1.0  cpu         solvent_charge_layer.py:514
         1.0  item        solvent_charge_layer.py:551
