19:56:30 rss_kB=4820 memavail_kB=255925672 gpu_MiB=95
19:56:35 rss_kB=2038824 memavail_kB=254229424 gpu_MiB=3899
19:56:40 rss_kB=1615320 memavail_kB=253610568 gpu_MiB=10619
19:56:45 rss_kB=1615324 memavail_kB=253707304 gpu_MiB=10619
19:56:50 rss_kB=1615324 memavail_kB=253800296 gpu_MiB=10619
19:56:55 rss_kB=1615324 memavail_kB=253870784 gpu_MiB=10619
19:57:00 rss_kB=1615324 memavail_kB=253957740 gpu_MiB=10619
19:57:05 rss_kB=1615324 memavail_kB=254127956 gpu_MiB=10619
19:57:10 rss_kB=1615324 memavail_kB=254197308 gpu_MiB=10619
19:57:15 rss_kB=1615324 memavail_kB=254363184 gpu_MiB=10619
19:57:20 rss_kB=1615324 memavail_kB=254397684 gpu_MiB=10619
19:57:25 rss_kB=1615324 memavail_kB=254410884 gpu_MiB=10619
19:57:30 rss_kB=1615324 memavail_kB=254464700 gpu_MiB=10619
19:57:35 rss_kB=1615324 memavail_kB=254516528 gpu_MiB=10619
19:57:40 rss_kB=1615324 memavail_kB=254596696 gpu_MiB=10619
19:57:45 rss_kB=1615324 memavail_kB=254671860 gpu_MiB=10619
19:57:50 rss_kB=1615324 memavail_kB=254735004 gpu_MiB=10619
19:57:55 rss_kB=1615324 memavail_kB=254743736 gpu_MiB=10619
19:58:00 rss_kB=1615324 memavail_kB=254762300 gpu_MiB=10619
19:58:05 rss_kB=1615324 memavail_kB=254779728 gpu_MiB=10619
